sid,time,lat,lon,wind,pres,speed,direction
2022008S13148,2022-01-08 00:00:00,0.31312292358803984,0.7468850946008307,0.10344827586206898,0.9090909090909083,0.10344827586206896,0.4444444444444445
2022008S13148,2022-01-08 03:00:00,0.3106312292358804,0.7471158283341026,0.10344827586206898,0.9049586776859506,0.08620689655172414,0.4444444444444445
2022008S13148,2022-01-08 06:00:00,0.30897009966777406,0.7473465620673744,0.10344827586206898,0.9008264462809912,0.06896551724137931,0.4444444444444445
2022008S13148,2022-01-08 09:00:00,0.3081395348837209,0.7473465620673744,0.12068965517241378,0.9008264462809912,0.034482758620689655,0.45833333333333337
2022008S13148,2022-01-08 12:00:00,0.30730897009966773,0.7475772958006461,0.13793103448275862,0.9008264462809912,0.05172413793103448,0.0
2022008S13148,2022-01-08 15:00:00,0.30564784053156147,0.7475772958006461,0.13793103448275862,0.8925619834710741,0.06896551724137931,0.5416666666666667
2022008S13148,2022-01-08 18:00:00,0.30398671096345514,0.7473465620673744,0.13793103448275862,0.884297520661157,0.08620689655172414,0.638888888888889
2022008S13148,2022-01-08 21:00:00,0.30315614617940195,0.7464236271342871,0.13793103448275862,0.8760330578512399,0.12068965517241378,0.6944444444444444
2022008S13148,2022-01-09 00:00:00,0.30149501661129563,0.7457314259344716,0.13793103448275862,0.8677685950413228,0.08620689655172414,0.6944444444444444
2022008S13148,2022-01-09 03:00:00,0.30149501661129563,0.7452699584679281,0.17241379310344826,0.8471074380165291,0.06896551724137931,0.7083333333333334
2022008S13148,2022-01-09 06:00:00,0.3006644518272425,0.7448084910013846,0.20689655172413793,0.8264462809917354,0.10344827586206896,0.75
2022008S13148,2022-01-09 09:00:00,0.30149501661129563,0.7438855560682973,0.2413793103448276,0.8140495867768589,0.15517241379310345,0.763888888888889
2022008S13148,2022-01-09 12:00:00,0.30149501661129563,0.7427318874019383,0.27586206896551724,0.8016528925619841,0.1724137931034483,0.75
2022008S13148,2022-01-09 15:00:00,0.30149501661129563,0.7415782187355793,0.27586206896551724,0.7933884297520652,0.1724137931034483,0.7361111111111112
2022008S13148,2022-01-09 18:00:00,0.3006644518272425,0.7404245500692201,0.27586206896551724,0.7851239669421481,0.15517241379310345,0.7361111111111112
2022008S13148,2022-01-09 21:00:00,0.3006644518272425,0.739501615136133,0.31034482758620685,0.7933884297520652,0.12068965517241378,0.7222222222222222
2022008S13148,2022-01-10 00:00:00,0.2990033222591362,0.7388094139363175,0.31034482758620685,0.8016528925619841,0.10344827586206896,0.6805555555555556
2022008S13148,2022-01-10 03:00:00,0.29817275747508304,0.738347946469774,0.2413793103448276,0.8099173553719012,0.08620689655172414,0.6527777777777778
2022008S13148,2022-01-10 06:00:00,0.2965116279069767,0.7376557452699586,0.17241379310344826,0.8181818181818183,0.12068965517241378,0.7083333333333334
2022008S13148,2022-01-10 09:00:00,0.2965116279069767,0.7367328103368713,0.15517241379310345,0.8553719008264462,0.15517241379310345,0.7361111111111112
2022008S13148,2022-01-10 12:00:00,0.2965116279069767,0.7355791416705124,0.13793103448275862,0.8925619834710741,0.1724137931034483,0.75
2022008S13148,2022-01-10 15:00:00,0.2965116279069767,0.7341947392708814,0.13793103448275862,0.8884297520661146,0.1724137931034483,0.763888888888889
2022008S13148,2022-01-10 18:00:00,0.2965116279069767,0.7330410706045225,0.13793103448275862,0.884297520661157,0.13793103448275862,0.763888888888889
2022008S13148,2022-01-10 21:00:00,0.2973421926910299,0.7323488694047071,0.15517241379310345,0.8760330578512399,0.10344827586206896,0.75
2022008S13148,2022-01-11 00:00:00,0.2965116279069767,0.7316566682048916,0.17241379310344826,0.8677685950413228,0.15517241379310345,0.6944444444444444
2022008S13148,2022-01-11 03:00:00,0.2948504983388704,0.7305029995385326,0.17241379310344826,0.8595041322314039,0.22413793103448276,0.6944444444444444
2022008S13148,2022-01-11 06:00:00,0.29318936877076407,0.7288878634056299,0.17241379310344826,0.8512396694214868,0.25862068965517243,0.7222222222222222
2022008S13148,2022-01-11 09:00:00,0.29318936877076407,0.7268112598061838,0.22413793103448273,0.838842975206612,0.29310344827586204,0.763888888888889
2022008S13148,2022-01-11 12:00:00,0.29401993355481726,0.7247346562067375,0.27586206896551724,0.8264462809917354,0.27586206896551724,0.763888888888889
2022008S13148,2022-01-11 15:00:00,0.29401993355481726,0.723119520073835,0.27586206896551724,0.8140495867768589,0.24137931034482757,0.763888888888889
2022008S13148,2022-01-11 18:00:00,0.2948504983388704,0.7215043839409323,0.27586206896551724,0.8016528925619841,0.20689655172413793,0.763888888888889
2022008S13148,2022-01-11 21:00:00,0.2956810631229236,0.7201199815413014,0.27586206896551724,0.7851239669421481,0.20689655172413793,0.763888888888889
2022008S13148,2022-01-12 00:00:00,0.2956810631229236,0.7187355791416705,0.27586206896551724,0.7685950413223139,0.25862068965517243,0.763888888888889
2022008S13148,2022-01-12 03:00:00,0.2973421926910299,0.7166589755422244,0.22413793103448273,0.7851239669421481,0.29310344827586204,0.763888888888889
2022008S13148,2022-01-12 06:00:00,0.2973421926910299,0.7145823719427781,0.17241379310344826,0.8016528925619841,0.22413793103448276,0.7361111111111112
2022008S13148,2022-01-12 09:00:00,0.2965116279069767,0.713428703276419,0.15517241379310345,0.8264462809917354,0.1724137931034483,0.6944444444444444
2022008S13148,2022-01-12 12:00:00,0.2948504983388704,0.7125057683433319,0.13793103448275862,0.8512396694214868,0.1724137931034483,0.6944444444444444
2022008S13148,2022-01-12 15:00:00,0.29401993355481726,0.711121365943701,0.10344827586206898,0.8595041322314039,0.1896551724137931,0.7083333333333334
